intitule_poste,ville,date_publication,mois,contrat,entreprise,source,secteur,competences,experience,exp_min,exp_max
Cadre en RSE,Dakar,2025-02-26,2025-02-01,CDD,Sonacos Sa (Ex Suneor),goafricaonline.com,Agriculture & Agroalimentaire,,Non spécifié,,
Technicien(ne) supérieur(e) en en génie civil,Dakar,2025-02-26,2025-02-01,CDD,Grdr (Groupe De Recherche Et De Realisations Pour Le Developpement Rural),goafricaonline.com,ONG & Humanitaire,gestion de projet,Non spécifié,,
Ingénieur Devops,Dakar,2025-02-26,2025-02-01,CDI,GIM-UEMOA,goafricaonline.com,"Finance, Banque & Comptabilité",communication,Non spécifié,,
nounou,Dakar,2025-02-26,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Responsable commerciale,Dakar,2025-02-26,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Placement,Dakar,2025-02-26,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
ingénieur agricole,Dakar,2025-02-26,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"vente, gestion de projet",Non spécifié,,
Femme de Nettoyage,Dakar,2025-02-26,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Commercial Sunhome,Dakar,2025-02-26,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"vente, marketing",Non spécifié,,
Base Manager,Dakar,2025-02-26,2025-02-01,CDD,RMO,goafricaonline.com,RH & Recrutement,"communication, logistique",10+,10.0,10.0
Recherche coiffeuses et estheticiennes,Dakar,2025-02-19,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,,Non spécifié,,
Une commerciale responsable,Dakar,2025-02-19,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"vente, marketing, communication",Non spécifié,,
Comptable Confirmé,Dakar,2025-02-19,2025-02-01,Non spécifié,VISION PLUS VOYAGES,goafricaonline.com,Tourisme & Hôtellerie,"vente, finance, rh, data analyse, logistique, gestion de projet",2,2.0,2.0
Responsable des Services Linguistiques (H/F),Dakar,2025-02-19,2025-02-01,CDD,TECTRA SENEGAL,goafricaonline.com,RH & Recrutement,communication,Non spécifié,,
Coordinateur régional,Dakar,2025-02-19,2025-02-01,CDD,Iucn (Union Mondiale Pour La Conservation De La Nature),goafricaonline.com,ONG & Humanitaire,gestion de projet,Non spécifié,,
Chef d’agence (secteur assurance),Dakar,2025-02-19,2025-02-01,CDD,TOPWORK SENEGAL,goafricaonline.com,RH & Recrutement,"finance, vente",10,10.0,10.0
Dessinateur Projeteur,Dakar,2025-02-19,2025-02-01,CDI,Senelec (Societe Nationale D'Electricite),goafricaonline.com,Energie & Environnement,"logistique, gestion de projet",Non spécifié,,
03 Chefs de projets,Dakar,2025-02-19,2025-02-01,CDI,Senelec (Societe Nationale D'Electricite),goafricaonline.com,Energie & Environnement,"logistique, gestion de projet",Non spécifié,,
05 Assistants Comptables & Financiers,Dakar,2025-02-19,2025-02-01,CDI,Senelec (Societe Nationale D'Electricite),goafricaonline.com,Energie & Environnement,"finance, logistique",Non spécifié,,
Chef d’Unité Budget et Analyses,Dakar,2025-02-19,2025-02-01,CDI,Senelec (Societe Nationale D'Electricite),goafricaonline.com,Energie & Environnement,logistique,Non spécifié,,
Responsable – Contenus communication numérique,Dakar,2025-02-19,2025-02-01,Non spécifié,Auf / Agence Universitaire De La Francophonie,goafricaonline.com,"Finance, Banque & Comptabilité","marketing, finance, programmation, communication, data analyse, rh, logistique, gestion de projet",5,5.0,5.0
Scientifique en conservation,Dakar,2025-02-19,2025-02-01,CDD,Iucn (Union Mondiale Pour La Conservation De La Nature),goafricaonline.com,ONG & Humanitaire,"data analyse, gestion de projet",Non spécifié,,
Controleur de gestion junior,Dakar,2025-02-19,2025-02-01,CDD,GPF SARL,goafricaonline.com,RH & Recrutement,"finance, vente, communication",1-3,1.0,3.0
Africa Country Procurement Buyer,Dakar,2025-02-19,2025-02-01,CDD,Phoenix Consulting Group Sn,goafricaonline.com,RH & Recrutement,"data analyse, gestion de projet",5,5.0,5.0
Acheteur achats pays Afrique,Dakar,2025-02-19,2025-02-01,CDD,Phoenix Consulting Group Sn,goafricaonline.com,RH & Recrutement,gestion de projet,5,5.0,5.0
Agent de Sécurité,Dakar,2025-02-19,2025-02-01,CDD,MEKS SECURITE,goafricaonline.com,Sécurité,"communication, santé",Non spécifié,,
Hotesses d’accueil (02),Dakar,2025-02-19,2025-02-01,Non spécifié,HOTEL TERROU BI,goafricaonline.com,Tourisme & Hôtellerie,data analyse,Non spécifié,,
Chef de secteur,Dakar,2025-02-19,2025-02-01,Stage,TOTAL ENERGIES,goafricaonline.com,Transport & Logistique,"marketing, vente, finance, communication, data analyse, gestion de projet",2,2.0,2.0
Conseillère technique en matière de genre et de droits humains,Dakar,,,CDD,Unfpa (Fonds Des Nations Unies Pour La Population),goafricaonline.com,ONG & Humanitaire,,Non spécifié,,
Responsable de processus,Dakar,2025-02-19,2025-02-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité","gestion de projet, finance, santé",15,15.0,15.0
Manoeuvre,Dakar,2025-02-19,2025-02-01,CDD,RPORTH,goafricaonline.com,"Finance, Banque & Comptabilité",,Non spécifié,,
Projeteur Dessinateur,Dakar,2025-02-19,2025-02-01,CDD,TOPWORK SENEGAL,goafricaonline.com,RH & Recrutement,gestion de projet,Non spécifié,,
Commercial,Dakar,2025-02-19,2025-02-01,CDD,SCRH,goafricaonline.com,RH & Recrutement,"rh, vente",Non spécifié,,
Gestionnaire et responsable RH,Dakar,2025-02-19,2025-02-01,Freelance/Stage,EVENTS,goafricaonline.com,Marketing & Communication,"marketing, vente, finance, programmation, communication, rh, logistique, gestion de projet",7,7.0,7.0
Spécialiste en gestion de projet (local) – Transport ou développement rural,Dakar,2025-02-19,2025-02-01,CDD,Institut Superieur Dakar Banlieue - Isdb,goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, logistique, gestion de projet",5,5.0,5.0
STAGE – Assistant(e) Gestion Relation Donateurs,Dakar,2025-02-19,2025-02-01,CDD,ALIMA,goafricaonline.com,Administration & Services publics,"marketing, finance, communication, data analyse",Non spécifié,,
"Gestion de la chaîne d'approvisionnement, associée, paludisme mondial (accès aux produits)",Dakar,2025-02-19,2025-02-01,CDD,CHAI AFRICA PROTEINE,goafricaonline.com,Commerce & Vente,"visualisation de données, data analyse, santé",Non spécifié,,
"Spécialiste en gestion de projets (local) – Énergie/Électricité, RH",Dakar,2025-02-19,2025-02-01,CDD,Institut Superieur Dakar Banlieue - Isdb,goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, gestion de projet",5,5.0,5.0
Spécialiste en gestion de projets (local) – Santé publique,Dakar,2025-02-19,2025-02-01,CDD,Institut Superieur Dakar Banlieue - Isdb,goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, gestion de projet",5,5.0,5.0
Des agents commerciaux et hôtesses à pieds,Dakar,2025-02-19,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Ingenieur technico-commercial en qhse,Dakar,2025-02-19,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"vente, communication, rh",Non spécifié,,
Coiffeuse Spécialisée en Locks – Dakar (Almadies),Dakar,2025-02-19,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
HSE Manager / CSO,Dakar,2025-02-16,2025-02-01,Stage,TOTAL ENERGIES,goafricaonline.com,Transport & Logistique,"marketing, vente, finance, communication, programmation, data analyse, santé, logistique, gestion de projet",2,2.0,2.0
Coiffeurs,Non spécifié,2025-02-16,2025-02-01,CDD,AFRI RH,goafricaonline.com,Non spécifié,"vente, rh, santé",Non spécifié,,
Programme Jeunes Diplômés,Dakar,2025-02-16,2025-02-01,Stage,TOTAL ENERGIES,goafricaonline.com,Transport & Logistique,"marketing, vente, finance, communication, data analyse, gestion de projet",2,2.0,2.0
Chef de secteur maintenance,Dakar,,,Stage,TOTAL ENERGIES,goafricaonline.com,Transport & Logistique,"marketing, vente, finance, communication, data analyse, gestion de projet",2,2.0,2.0
Administrateur des opérations aériennes,Dakar,2025-02-16,2025-02-01,Non spécifié,CMA CGM SENEGAL,goafricaonline.com,Transport & Logistique,"vente, communication, logistique",Non spécifié,,
Administrateur des opérations,Dakar,2025-02-16,2025-02-01,Non spécifié,CMA CGM SENEGAL,goafricaonline.com,Transport & Logistique,"vente, communication, data analyse, logistique",Non spécifié,,
Stagiaire en opérations océaniques,Dakar,2025-02-16,2025-02-01,Non spécifié,CMA CGM SENEGAL,goafricaonline.com,Transport & Logistique,"vente, communication, logistique",Non spécifié,,
Chef de département audit interne,Dakar,2025-02-16,2025-02-01,CDD,ECO AFRIQUE,goafricaonline.com,"Finance, Banque & Comptabilité","marketing, vente, finance, communication, rh, logistique, gestion de projet",Non spécifié,,
Chauffeur livreur,Dakar,2025-02-16,2025-02-01,CDD,RPORTH,goafricaonline.com,"Finance, Banque & Comptabilité",,2,2.0,2.0
Travailleur des opérations aériennes,Dakar,2025-02-16,2025-02-01,Non spécifié,CMA CGM SENEGAL,goafricaonline.com,Transport & Logistique,"vente, communication, logistique",Non spécifié,,
Responsable informatique,Dakar,2025-02-16,2025-02-01,CDD/CDI/Stage,Msf (Moniz Da Maia Serra & Fortunato Empreiteiro),goafricaonline.com,BTP & Industrie,"vente, communication, programmation, data analyse, rh, santé, logistique, gestion de projet",5,5.0,5.0
Comptable expérimenté,Dakar,2025-02-16,2025-02-01,CDD/CDI,INTELCIA,goafricaonline.com,Marketing & Communication,"finance, communication",5,5.0,5.0
Administrateur des tarifs et des devis pour les transports terrestres et ferroviaires,Dakar,2025-02-16,2025-02-01,Non spécifié,CMA CGM SENEGAL,goafricaonline.com,Transport & Logistique,"vente, finance, logistique",Non spécifié,,
Professeur de mathématiques et professeur d'anglais,Dakar,2025-02-16,2025-02-01,CDD,IQRA BILINGUAL ACADEMY,goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, gestion de projet",2,2.0,2.0
Consultant en Mobilisation de ressource,Dakar,2025-02-16,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"finance, programmation",Non spécifié,,
Spécialiste en markting et communication,Dakar,2025-02-16,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"vente, marketing",Non spécifié,,
Assistante Stagiaire Polyvalente,Dakar,2025-02-16,2025-02-01,CDD,AGENCE HYBRIDE,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",3,3.0,3.0
Superviseur de Maintenance Électrique,Dakar,,,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité",,5,5.0,5.0
Superviseur du traitement de la production,Dakar,2025-02-16,2025-02-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité","communication, santé",15,15.0,15.0
Chargée de mission transition énergétique,Dakar,2025-02-16,2025-02-01,CDD/CDI/Stage,Msf (Moniz Da Maia Serra & Fortunato Empreiteiro),goafricaonline.com,BTP & Industrie,"programmation, communication, logistique, gestion de projet",Non spécifié,,
Functional support referent – financial information systems,Dakar,2025-02-16,2025-02-01,CDD/CDI/Stage,Msf (Moniz Da Maia Serra & Fortunato Empreiteiro),goafricaonline.com,BTP & Industrie,"finance, communication, data analyse, rh, gestion de projet",Non spécifié,,
Agent de soutien Tembo,Dakar,2025-02-16,2025-02-01,CDD/CDI/Stage,Msf (Moniz Da Maia Serra & Fortunato Empreiteiro),goafricaonline.com,BTP & Industrie,"communication, programmation, logistique, gestion de projet",Non spécifié,,
Superviseur pour agents de securite,Dakar,2025-02-16,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,BTP & Industrie,vente,Non spécifié,,
Formation,Dakar,2025-02-16,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,BTP & Industrie,vente,Non spécifié,,
Conseiller commercial en assurances,Dakar,2025-02-16,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,BTP & Industrie,"vente, santé",8,8.0,8.0
Développeur web full stack,Dakar,2025-02-16,2025-02-01,CDD,GLOBAL BUSINESS GROUP - GBG,goafricaonline.com,"Finance, Banque & Comptabilité",programmation,Non spécifié,,
Finance and budget Assistant,Dakar,2025-02-16,2025-02-01,CDD,United Nations Office For West Africa - Unowa,goafricaonline.com,ONG & Humanitaire,finance,Non spécifié,,
Chauffeur,Dakar,2025-02-16,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,BTP & Industrie,vente,Non spécifié,,
Charge(e) cybersécurité et sécurité opérationnelle,Dakar,2025-02-13,2025-02-01,CDD,Banque Ouest Africaine De Developpement-Boad,goafricaonline.com,"Finance, Banque & Comptabilité","gestion de projet, finance",Non spécifié,,
Responsable des laboratoires de physico-chimie,Dakar,2025-02-13,2025-02-01,CDI,Institut Pasteur De Dakar,goafricaonline.com,Education & Formation,"programmation, finance, data analyse, rh, santé, logistique, gestion de projet",2,2.0,2.0
Directeur Financier,Dakar,2025-02-13,2025-02-01,CDD,RMO,goafricaonline.com,RH & Recrutement,finance,10,10.0,10.0
HRBP Billingue,Dakar,2025-02-13,2025-02-01,CDD,RMO,goafricaonline.com,RH & Recrutement,"vente, rh, marketing",3,3.0,3.0
Responsable QHSE,Dakar,2025-02-13,2025-02-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité","finance, communication, rh, gestion de projet",10,10.0,10.0
Médecin d’entreprise,Dakar,2025-02-13,2025-02-01,CDI,Agence Nationale de la Statistique et de la Démographie-ANSD,goafricaonline.com,Administration & Services publics,"marketing, programmation, communication, finance, data analyse, rh, santé, gestion de projet",5,5.0,5.0
Responsable de programme principal,Dakar,2025-02-13,2025-02-01,CDD,Ambassade Du Royaume-Uni Au Senegal,goafricaonline.com,Administration & Services publics,santé,Non spécifié,,
Assistant administratif au Programme,Dakar,2025-02-13,2025-02-01,CDD,"Unesco (Organisation Des Nations Unies Pour L'Education, La Science Et La Culture)",goafricaonline.com,ONG & Humanitaire,communication,Non spécifié,,
Assistant administratif,Dakar,2025-02-13,2025-02-01,CDD,United Nations Office For West Africa - Unowa,goafricaonline.com,ONG & Humanitaire,"finance, rh",Non spécifié,,
Environmental and Social Development Specialist,Dakar,2025-02-13,2025-02-01,CDD,Ifc/ Senegal (Institut De Formation Des Conseillers En Organisations),goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, gestion de projet",2,2.0,2.0
Assistante de direction sur mbour uniquement,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"vente, logistique",Non spécifié,,
Cherche chauffeur pour yango,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Menagere de bureau,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Opérateur infographie et impression packaging,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Femme de ménage,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Social Media Manager et Infographie,Dakar,2025-02-13,2025-02-01,CDD,IQRA BILINGUAL ACADEMY,goafricaonline.com,Education & Formation,"marketing, communication, gestion de projet",3,3.0,3.0
01 Chauffeur expérimenté et Sereiux,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
des décorateurs d'événementiel,Dakar,,,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Nettoyage cuisine,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Informations sur l'emploi,Dakar,2025-02-13,2025-02-01,CDD,Ifc/ Senegal (Institut De Formation Des Conseillers En Organisations),goafricaonline.com,Education & Formation,"vente, communication, finance, data analyse, programmation, santé, gestion de projet",Non spécifié,,
Chef de cuisine adjoint,Dakar,2025-02-13,2025-02-01,Non spécifié,HOTEL TERROU BI,goafricaonline.com,Tourisme & Hôtellerie,,Non spécifié,,
Stage pratique en communication,Dakar,2025-02-13,2025-02-01,CDD,ENDA JEUNESSE ACTION,goafricaonline.com,ONG & Humanitaire,"marketing, communication",Non spécifié,,
Chef de Rang,Dakar,2025-02-13,2025-02-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité","rh, finance",Non spécifié,,
Ingénieur applicatif,Dakar,2025-02-13,2025-02-01,CDI,ERAMET,goafricaonline.com,BTP & Industrie,gestion de projet,Non spécifié,,
Marine Pilot,Dakar,2025-02-13,2025-02-01,CDD,Airswift,goafricaonline.com,RH & Recrutement,,Non spécifié,,
Rondier,Dakar,2025-02-13,2025-02-01,CDD,DANGOTE INDUSTRIES SENEGAL,goafricaonline.com,BTP & Industrie,"vente, finance, communication, data analyse, rh, logistique, santé, gestion de projet",2,2.0,2.0
Chef de projet,Dakar,2025-02-13,2025-02-01,CDD,BAOBAB DES SAVEURS,goafricaonline.com,Agriculture & Agroalimentaire,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",3,3.0,3.0
(02) Deux hôtesses d’accueil,Dakar,2025-02-13,2025-02-01,CDD,Comptoir Commercial Bara Mboup - Ccbm,goafricaonline.com,Transport & Logistique,vente,Non spécifié,,
Responsable de la sécurité,Dakar,2025-02-13,2025-02-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité",,Non spécifié,,
Agent commercial en gestion immobiliere,Dakar,2025-02-13,2025-02-01,CDD,KATOS CONSULTING,goafricaonline.com,BTP & Industrie,"marketing, vente, communication, programmation, gestion de projet",2,2.0,2.0
Poste comptable,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Gérant CYBERGAME,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
D'agent commercial,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Recrutement commerciaux,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"vente, communication",Non spécifié,,
Responsable qualité,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Environnementaliste,Dakar,2025-02-13,2025-02-01,CDD,Boa Senegal Agence Maristes,goafricaonline.com,"Finance, Banque & Comptabilité",,Non spécifié,,
Cuisine - Nounou,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Assistant back office,Non spécifié,2025-02-13,2025-02-01,CDD,AMD CORPORATE,goafricaonline.com,Non spécifié,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",3,3.0,3.0
Analyste Financier Sénior,Dakar,2025-02-13,2025-02-01,CDD,Fongip (Fonds De Garantie Des Investissements Prioritaires),goafricaonline.com,Administration & Services publics,finance,Non spécifié,,
Assistant de direction,Dakar,2025-02-13,2025-02-01,CDD,GLOBAL BUSINESS GROUP - GBG,goafricaonline.com,"Finance, Banque & Comptabilité",finance,Non spécifié,,
Gestionnaire de flotte automobile,Dakar,2025-02-13,2025-02-01,CDD,GLOBAL BUSINESS GROUP - GBG,goafricaonline.com,"Finance, Banque & Comptabilité",communication,Non spécifié,,
Chef de produit Devices,Dakar,2025-02-13,2025-02-01,CDD,GLOBAL BUSINESS GROUP - GBG,goafricaonline.com,"Finance, Banque & Comptabilité","vente, marketing, finance",Non spécifié,,
Comptable confirmé,Dakar,2025-02-13,2025-02-01,CDD,SERVTEC Sénégal,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, programmation, data analyse, rh, santé, gestion de projet",3,3.0,3.0
Directeur de l'ingénierie,Dakar,2025-02-13,2025-02-01,CDD,SERVTEC Sénégal,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",10,10.0,10.0
Directeur de l’Administration des finances,Dakar,2025-02-13,2025-02-01,CDD,Codesria (Conseil Pour Le Developpement De La Recherche Economique Et Sociale En Afrique),goafricaonline.com,ONG & Humanitaire,finance,Non spécifié,,
Sunhome,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"vente, marketing",Non spécifié,,
Boy de maison,Dakar,,,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Chauffeur_Conducteur,Dakar,2025-02-13,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Attachee à la communication et gestion,Dakar,2025-02-13,2025-02-01,CDI,Le mas des cocotiers,goafricaonline.com,Tourisme & Hôtellerie,"communication, marketing",Non spécifié,,
Manager Fiscal,Dakar,2025-02-13,2025-02-01,Non spécifié,SUNDA INTERNATIONAL,goafricaonline.com,BTP & Industrie,"marketing, vente, finance, programmation, communication, data analyse, logistique, santé, gestion de projet",8,8.0,8.0
Assistant Comptable Fiscal Bilingue,Dakar,2025-02-13,2025-02-01,Non spécifié,SUNDA INTERNATIONAL,goafricaonline.com,BTP & Industrie,"marketing, vente, finance, programmation, communication, data analyse, logistique, santé, gestion de projet",1-3,1.0,3.0
Stagiaire QHSE,Dakar,2025-02-13,2025-02-01,Stage,AVI SENEGAL,goafricaonline.com,Agriculture & Agroalimentaire,"finance, vente",Non spécifié,,
Secrétaire Assistant(e) Médicale H/F,Dakar,2025-02-10,2025-02-01,CDD,YSED GROUP CONSULTING,goafricaonline.com,Education & Formation,"finance, programmation, vente, communication, data analyse, rh, marketing, santé, logistique, gestion de projet",3,3.0,3.0
Responsable D’Agence H/F,Dakar,2025-02-10,2025-02-01,CDD,LAPAIRE,goafricaonline.com,Santé & Bien-être,"vente, marketing, finance, santé",3,3.0,3.0
Agent de réception en gros,Dakar,2025-02-10,2025-02-01,CDD,GBGCI,goafricaonline.com,BTP & Industrie,,Non spécifié,,
Responsable Marketing Cloud de Salesforce,Dakar,2025-02-10,2025-02-01,CDD,Soeurs De La Providence De Yopougon,goafricaonline.com,ONG & Humanitaire,"marketing, vente, communication, programmation, data analyse, gestion de projet",3,3.0,3.0
Agents Commerciaux,Dakar,2025-02-10,2025-02-01,CDD,SUNDA INTERNATIONAL,goafricaonline.com,BTP & Industrie,"vente, marketing",Non spécifié,,
Administrateur Système et sécurité,Dakar,2025-02-10,2025-02-01,CDI,Fongip (Fonds De Garantie Des Investissements Prioritaires),goafricaonline.com,Administration & Services publics,"marketing, programmation, communication, finance, data analyse, rh, santé, gestion de projet",5,5.0,5.0
teleconseilers,Dakar,2025-02-10,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Esthéticienne polyvalente,Dakar,2025-02-10,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"vente, logistique",Non spécifié,,
Commerciaux sur Mbour,Dakar,2025-02-10,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Assistante administrative Bilingue,Dakar,2025-02-10,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,3,3.0,3.0
Coiffeur professionnel,Dakar,2025-02-10,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Télé opératrice,Dakar,2025-02-10,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
"Toursime, Hotellerie & Restauration",Dakar,2025-02-10,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Sunhome Louga,Dakar,2025-02-10,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"vente, marketing",Non spécifié,,
Agent de recouvrement,Dakar,2025-02-10,2025-02-01,CDD,Fongip (Fonds De Garantie Des Investissements Prioritaires),goafricaonline.com,Administration & Services publics,"gestion de projet, vente",Non spécifié,,
Responsable Administratif et financier LOXEA,Dakar,2025-02-10,2025-02-01,CDD,CFAO Sénégal,goafricaonline.com,Commerce & Vente,"marketing, vente, finance, programmation, rh, logistique, gestion de projet",10,10.0,10.0
Commerciaux expérimentés en appels sortants,Dakar,2025-02-10,2025-02-01,CDD/CDI,INTELCIA,goafricaonline.com,Marketing & Communication,"vente, communication, gestion de projet",Non spécifié,,
AGE – Assistant(e) Gestion Relation Donateurs,Dakar,2025-02-10,2025-02-01,CDD,CHEZ ALIMA,goafricaonline.com,Commerce & Vente,"marketing, finance, communication, santé, data analyse, gestion de projet",Non spécifié,,
Commercial,Dakar,2025-02-10,2025-02-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité","marketing, vente, finance, rh",Non spécifié,,
Business Developer Oil & Gas,Dakar,2025-02-10,2025-02-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité",vente,Non spécifié,,
Responsable financier,Dakar,2025-02-10,2025-02-01,CDD/CDI/Stage,Msf (Moniz Da Maia Serra & Fortunato Empreiteiro),goafricaonline.com,BTP & Industrie,"finance, communication, programmation, data analyse, rh, santé, logistique, gestion de projet",2,2.0,2.0
Pizzaiolo Wanted !,Dakar,2025-02-10,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
TECHNICO-COMMERCIAUX (H/F) - Chimie et/ou Biochimie,Dakar,2025-02-10,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,"vente, marketing, communication, santé",Non spécifié,,
Assistant support technique,Dakar,2025-02-10,2025-02-01,CDD,EXPAT-DAKAR.COM,goafricaonline.com,Commerce & Vente,vente,Non spécifié,,
Assistant(e) Administratif(ve),Dakar,2025-02-10,2025-02-01,CDD,Phoenix Consulting Group Sn,goafricaonline.com,RH & Recrutement,finance,5,5.0,5.0
Gestionnaire Paie,Dakar,2025-02-10,2025-02-01,CDD,ELITE RH,goafricaonline.com,RH & Recrutement,"data analyse, rh",2,2.0,2.0
Human Resources Assistant,Dakar,2025-02-10,2025-02-01,CDD,YANGO SENEGAL,goafricaonline.com,Transport & Logistique,"vente, marketing, communication, logistique",Non spécifié,,
Programmes Coordinator,Dakar,2025-02-10,2025-02-01,CDD,SERVTEC Sénégal,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, logistique, gestion de projet",5,5.0,5.0
Un(e) Animateur SSE- Sureté H/F,Non spécifié,2025-02-10,2025-02-01,CDD,NEEMBA TOGO,goafricaonline.com,Non spécifié,"communication, data analyse, santé, logistique",2,2.0,2.0
