intitule_poste,ville,date_publication,mois,contrat,entreprise,source,secteur,competences,experience,exp_min,exp_max
"Stage – website optimisation, marketing & parcours client",Dakar,2026-01-07,2026-01-01,Stage,SIGMA ONE,goafricaonline.com,Transport & Logistique,marketing,Non spécifié,,
Expert in Electricity Production Planning,Dakar,2026-01-07,2026-01-01,CDD,RELP,goafricaonline.com,ONG & Humanitaire,data analyse,Non spécifié,,
Expert in Electrical Grid Planning,Dakar,2026-01-07,2026-01-01,CDD,RELP,goafricaonline.com,ONG & Humanitaire,"vente, data analyse, logistique",Non spécifié,,
Expert in Electricity Demand Planning,Dakar,2026-01-07,2026-01-01,CDD,RELP,goafricaonline.com,ONG & Humanitaire,data analyse,Non spécifié,,
Directeur des Opérations,Dakar,2026-01-01,2026-01-01,CDD,TECTRA SENEGAL,goafricaonline.com,RH & Recrutement,"vente, communication, finance, logistique",5,5.0,5.0
Sales Representative,Dakar,2026-01-01,2026-01-01,CDD,AFRICAWORKS DAKAR,goafricaonline.com,Commerce & Vente,"vente, communication, logistique",2,2.0,2.0
Software Solution Architect,Dakar,2026-01-01,2026-01-01,CDD,GROUPE TOP INTER,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",3,3.0,3.0
Responsable des Ressources Humaines Stratégique,Dakar,,,CDD,AGENCE HYBRIDE,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",7,7.0,7.0
Directeur Général du GIM-UEMOA,Dakar,2025-12-31,2025-12-01,CDD,BCEAO,goafricaonline.com,ONG & Humanitaire,finance,Non spécifié,,
Pilote Intervention SAV Client,Dakar,2025-12-31,2025-12-01,CDD,GLOBAL BUSINESS GROUP - GBG,goafricaonline.com,"Finance, Banque & Comptabilité","logistique, santé",Non spécifié,,
Professeur Physique-Chimie,Dakar,2025-12-31,2025-12-01,CDD,LYCEE JEAN MERMOZ,goafricaonline.com,Education & Formation,,2,2.0,2.0
Chargé(e) de programme bilingue,Dakar,2025-12-31,2025-12-01,CDD,Phoenix Consulting Group - Pcg,goafricaonline.com,RH & Recrutement,"finance, gestion de projet",Non spécifié,,
Technicien d’intervention,Dakar,2025-12-31,2025-12-01,CDD,GLOBAL BUSINESS GROUP - GBG,goafricaonline.com,"Finance, Banque & Comptabilité","data analyse, santé, logistique",Non spécifié,,
Responsable des relations publiques extérieures – présidence cojoj,Dakar,2025-12-31,2025-12-01,CDD,COJOJ DAKAR 2026,goafricaonline.com,Sport & Loisirs,"communication, finance, gestion de projet",Non spécifié,,
